HTTrack3.49-2+htsswf+htsjava launched on Sat, 25 Feb 2023 17:32:28 at https://www.classcentral.com/ +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -qwr2%e0C2%Pns2u1%s%uN0%I0p3DaK0H0%kf2A100000%c2%f0#f -F msie6 -%F  -%l "en, *" https://www.classcentral.com/ -O1 "C:\My Web Sites\class2" +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.zip +*.tar +*.tgz +*.gz +*.rar +*.z +*.exe +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

17:39:37	Warning: 	HTML file (176970 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/most-popular-courses-2022/
17:39:46	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/100-most-popular-online-courses-2021/ (from https://www.classcentral.com/)
17:39:46	Warning: 	HTML file (178825 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/100-most-popular-online-courses-2021/
17:39:58	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/coursera-free-online-courses/ (from https://www.classcentral.com/)
17:39:58	Warning: 	HTML file (518752 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/coursera-free-online-courses/
17:39:58	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/free-certificates/ (from https://www.classcentral.com/)
17:39:58	Warning: 	HTML file (418992 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/free-certificates/
17:39:59	Warning: 	Retry after error -4 (Interrupted transfer) at link https://www.classcentral.com/report/free-google-certifications/ (from https://www.classcentral.com/)
17:39:59	Warning: 	HTML file (194133 bytes) retransferred due to lack of cache: https://www.classcentral.com/report/free-google-certifications/
17:40:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/ai (from https://www.classcentral.com/)
17:40:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/algorithms-and-data-structures (from https://www.classcentral.com/)
17:40:44	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/internet-of-things (from https://www.classcentral.com/)
17:41:00	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/computer-networking (from https://www.classcentral.com/)
17:41:00	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/machine-learning (from https://www.classcentral.com/)
17:41:16	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/deep-learning (from https://www.classcentral.com/)
17:41:16	Error: 	"Too Many Requests" (429) at link https://www.classcentral.com/subject/cryptography (from https://www.classcentral.com/)
